palabra,The Beatles,The Rolling Stones,Beach Boys,The Who,The Doors,Led Zeppelin,Jimi Hendrix,Pink Floyd,Velvet Underground,Byrds,The Kinks,The Temptations,The Supremes,The Animals,The Yardbirds,total
nt,1009.0,1625.0,930.0,829.0,275.0,332.0,297.0,226.0,208.0,389.0,1434.0,734.0,957.0,459.0,250.0,9954.0
love,850.0,686.0,811.0,230.0,282.0,236.0,154.0,38.0,62.0,207.0,437.0,752.0,1078.0,278.0,189.0,6290.0
baby,442.0,1035.0,425.0,129.0,176.0,282.0,185.0,25.0,51.0,66.0,207.0,493.0,414.0,481.0,169.0,4580.0
oh,537.0,591.0,603.0,82.0,66.0,430.0,80.0,47.0,157.0,168.0,577.0,388.0,335.0,289.0,106.0,4456.0
got,358.0,722.0,426.0,337.0,167.0,154.0,150.0,134.0,90.0,219.0,846.0,223.0,223.0,173.0,132.0,4354.0
know,593.0,435.0,458.0,303.0,162.0,185.0,103.0,72.0,166.0,202.0,522.0,317.0,336.0,245.0,134.0,4233.0
yeah,469.0,979.0,312.0,198.0,168.0,215.0,229.0,9.0,24.0,47.0,280.0,300.0,240.0,344.0,83.0,3897.0
na,359.0,643.0,464.0,226.0,129.0,197.0,101.0,38.0,90.0,171.0,466.0,259.0,235.0,132.0,73.0,3583.0
get,266.0,611.0,286.0,286.0,124.0,60.0,62.0,90.0,37.0,133.0,406.0,155.0,144.0,139.0,45.0,2844.0
like,276.0,362.0,314.0,244.0,96.0,56.0,94.0,100.0,80.0,113.0,465.0,255.0,218.0,108.0,63.0,2844.0
come,302.0,410.0,466.0,167.0,107.0,80.0,72.0,49.0,49.0,121.0,245.0,163.0,260.0,95.0,72.0,2658.0
see,273.0,288.0,214.0,275.0,80.0,60.0,87.0,75.0,75.0,164.0,436.0,183.0,192.0,96.0,73.0,2571.0
time,225.0,308.0,344.0,138.0,101.0,99.0,76.0,95.0,48.0,212.0,369.0,152.0,193.0,109.0,55.0,2524.0
go,244.0,427.0,412.0,173.0,57.0,88.0,92.0,68.0,40.0,125.0,359.0,140.0,166.0,64.0,66.0,2521.0
gon,273.0,388.0,193.0,154.0,100.0,139.0,71.0,24.0,79.0,141.0,322.0,145.0,161.0,88.0,55.0,2333.0
one,232.0,276.0,320.0,201.0,102.0,66.0,54.0,113.0,39.0,122.0,279.0,128.0,195.0,143.0,50.0,2320.0
let,257.0,291.0,298.0,138.0,104.0,77.0,66.0,31.0,13.0,72.0,216.0,237.0,219.0,86.0,37.0,2142.0
well,344.0,478.0,235.0,90.0,136.0,71.0,112.0,24.0,27.0,93.0,224.0,72.0,63.0,88.0,83.0,2140.0
ca,183.0,345.0,171.0,165.0,65.0,50.0,41.0,62.0,23.0,85.0,365.0,139.0,221.0,100.0,71.0,2086.0
want,261.0,380.0,142.0,128.0,74.0,47.0,37.0,44.0,24.0,133.0,323.0,140.0,104.0,149.0,58.0,2044.0
way,178.0,248.0,182.0,120.0,59.0,100.0,60.0,71.0,45.0,102.0,343.0,137.0,176.0,63.0,47.0,1931.0
day,171.0,135.0,218.0,80.0,35.0,60.0,56.0,74.0,32.0,125.0,360.0,145.0,201.0,147.0,32.0,1871.0
back,214.0,291.0,321.0,136.0,77.0,49.0,71.0,59.0,34.0,97.0,206.0,102.0,74.0,56.0,35.0,1822.0
say,241.0,244.0,151.0,153.0,36.0,37.0,53.0,44.0,45.0,104.0,234.0,138.0,192.0,56.0,56.0,1784.0
little,192.0,236.0,314.0,116.0,123.0,54.0,61.0,43.0,24.0,65.0,237.0,67.0,116.0,65.0,66.0,1779.0
never,164.0,280.0,167.0,203.0,43.0,50.0,28.0,50.0,52.0,79.0,258.0,132.0,157.0,47.0,47.0,1757.0
girl,250.0,254.0,232.0,104.0,52.0,40.0,28.0,18.0,5.0,41.0,158.0,279.0,110.0,101.0,81.0,1753.0
man,147.0,236.0,171.0,152.0,58.0,33.0,49.0,54.0,21.0,81.0,287.0,99.0,117.0,82.0,102.0,1689.0
make,180.0,248.0,172.0,85.0,54.0,43.0,52.0,65.0,33.0,81.0,227.0,142.0,188.0,66.0,35.0,1671.0
away,121.0,207.0,252.0,85.0,56.0,55.0,42.0,73.0,30.0,70.0,301.0,106.0,124.0,56.0,27.0,1605.0
right,153.0,229.0,168.0,129.0,83.0,52.0,51.0,35.0,77.0,66.0,182.0,83.0,117.0,122.0,21.0,1568.0
tell,184.0,258.0,163.0,78.0,100.0,72.0,24.0,40.0,27.0,75.0,141.0,115.0,122.0,71.0,77.0,1547.0
night,137.0,254.0,242.0,71.0,111.0,59.0,34.0,42.0,28.0,45.0,180.0,84.0,74.0,132.0,41.0,1534.0
good,165.0,124.0,225.0,123.0,83.0,55.0,46.0,55.0,26.0,81.0,170.0,78.0,115.0,133.0,41.0,1520.0
take,146.0,198.0,202.0,113.0,54.0,48.0,52.0,56.0,27.0,95.0,188.0,84.0,117.0,87.0,27.0,1494.0
life,93.0,139.0,170.0,115.0,50.0,14.0,19.0,28.0,30.0,69.0,378.0,128.0,109.0,80.0,18.0,1440.0
hey,163.0,201.0,202.0,32.0,30.0,112.0,94.0,21.0,63.0,31.0,82.0,137.0,68.0,49.0,96.0,1381.0
long,176.0,169.0,140.0,137.0,67.0,67.0,41.0,24.0,19.0,59.0,193.0,52.0,114.0,63.0,38.0,1359.0
could,76.0,161.0,193.0,97.0,52.0,57.0,23.0,38.0,77.0,68.0,170.0,107.0,126.0,58.0,43.0,1346.0
home,162.0,163.0,215.0,128.0,34.0,54.0,52.0,46.0,9.0,55.0,202.0,56.0,54.0,83.0,28.0,1341.0
feel,85.0,193.0,100.0,127.0,37.0,52.0,33.0,51.0,40.0,66.0,198.0,106.0,113.0,100.0,25.0,1326.0
said,181.0,228.0,83.0,106.0,33.0,60.0,68.0,12.0,54.0,42.0,134.0,35.0,70.0,166.0,18.0,1290.0
need,142.0,171.0,113.0,93.0,62.0,41.0,19.0,43.0,1.0,42.0,130.0,183.0,177.0,46.0,20.0,1283.0
heart,112.0,195.0,134.0,71.0,12.0,20.0,24.0,52.0,28.0,42.0,120.0,127.0,297.0,19.0,16.0,1269.0
cause,107.0,156.0,99.0,79.0,21.0,23.0,27.0,13.0,24.0,50.0,162.0,203.0,170.0,45.0,13.0,1192.0
world,80.0,94.0,130.0,49.0,41.0,14.0,36.0,31.0,11.0,42.0,326.0,100.0,140.0,41.0,17.0,1152.0
ai,82.0,237.0,75.0,100.0,7.0,79.0,68.0,3.0,32.0,21.0,83.0,96.0,151.0,64.0,39.0,1137.0
think,96.0,193.0,112.0,79.0,28.0,24.0,28.0,42.0,18.0,58.0,203.0,60.0,76.0,53.0,23.0,1093.0
around,84.0,154.0,165.0,47.0,46.0,34.0,51.0,41.0,26.0,59.0,151.0,58.0,55.0,69.0,15.0,1055.0
look,101.0,143.0,83.0,78.0,37.0,24.0,56.0,33.0,24.0,32.0,243.0,86.0,65.0,25.0,15.0,1045.0
keep,54.0,163.0,144.0,62.0,19.0,46.0,19.0,42.0,23.0,34.0,126.0,115.0,157.0,36.0,1.0,1041.0
ta,69.0,163.0,86.0,75.0,46.0,21.0,32.0,77.0,14.0,34.0,254.0,28.0,49.0,31.0,26.0,1005.0
really,108.0,172.0,114.0,87.0,18.0,48.0,20.0,23.0,10.0,38.0,173.0,81.0,48.0,22.0,16.0,978.0
give,84.0,183.0,66.0,57.0,40.0,41.0,27.0,45.0,1.0,74.0,113.0,59.0,93.0,60.0,28.0,971.0
better,141.0,102.0,63.0,104.0,22.0,13.0,31.0,13.0,37.0,53.0,131.0,99.0,68.0,46.0,42.0,965.0
wo,117.0,150.0,138.0,71.0,23.0,45.0,15.0,24.0,10.0,40.0,116.0,66.0,100.0,34.0,15.0,964.0
hear,62.0,192.0,91.0,89.0,32.0,41.0,57.0,48.0,11.0,37.0,87.0,61.0,80.0,57.0,19.0,964.0
wan,69.0,195.0,107.0,66.0,29.0,43.0,28.0,4.0,9.0,25.0,100.0,108.0,74.0,44.0,18.0,919.0
would,80.0,91.0,96.0,49.0,27.0,29.0,23.0,69.0,32.0,47.0,143.0,80.0,86.0,38.0,10.0,900.0
yes,173.0,187.0,61.0,18.0,12.0,26.0,21.0,6.0,6.0,25.0,130.0,87.0,70.0,58.0,19.0,899.0
people,65.0,47.0,50.0,88.0,60.0,33.0,33.0,12.0,25.0,72.0,260.0,52.0,46.0,37.0,15.0,895.0
mind,93.0,115.0,70.0,64.0,57.0,21.0,52.0,23.0,16.0,48.0,130.0,54.0,48.0,67.0,33.0,891.0
every,68.0,100.0,89.0,57.0,7.0,40.0,18.0,15.0,13.0,52.0,165.0,85.0,105.0,51.0,16.0,881.0
find,76.0,107.0,108.0,55.0,27.0,31.0,15.0,32.0,15.0,46.0,100.0,75.0,84.0,50.0,38.0,859.0
eyes,69.0,100.0,98.0,60.0,46.0,22.0,26.0,64.0,36.0,35.0,117.0,70.0,59.0,35.0,19.0,856.0
ever,96.0,87.0,105.0,89.0,14.0,17.0,20.0,20.0,23.0,20.0,155.0,58.0,87.0,41.0,23.0,855.0
much,97.0,118.0,69.0,70.0,17.0,12.0,14.0,10.0,20.0,28.0,130.0,96.0,104.0,34.0,34.0,853.0
please,123.0,139.0,70.0,53.0,48.0,30.0,26.0,37.0,19.0,35.0,82.0,51.0,62.0,45.0,13.0,833.0
still,58.0,77.0,180.0,75.0,25.0,28.0,15.0,30.0,9.0,45.0,138.0,59.0,56.0,15.0,11.0,821.0
gone,83.0,58.0,73.0,56.0,29.0,33.0,10.0,27.0,22.0,52.0,117.0,59.0,98.0,49.0,31.0,797.0
going,76.0,144.0,60.0,54.0,40.0,37.0,18.0,25.0,27.0,57.0,154.0,27.0,38.0,26.0,10.0,793.0
sweet,78.0,141.0,72.0,9.0,16.0,34.0,41.0,3.0,49.0,15.0,21.0,81.0,182.0,18.0,29.0,789.0
always,77.0,98.0,72.0,72.0,15.0,19.0,4.0,26.0,21.0,47.0,125.0,52.0,76.0,42.0,31.0,777.0
us,44.0,39.0,99.0,80.0,64.0,16.0,24.0,27.0,8.0,58.0,183.0,47.0,70.0,10.0,7.0,776.0
things,93.0,72.0,79.0,48.0,15.0,5.0,14.0,25.0,20.0,47.0,128.0,57.0,81.0,46.0,33.0,763.0
old,72.0,85.0,84.0,84.0,29.0,21.0,28.0,39.0,23.0,45.0,122.0,22.0,53.0,29.0,3.0,739.0
run,40.0,38.0,202.0,85.0,69.0,23.0,16.0,39.0,42.0,27.0,46.0,40.0,47.0,3.0,7.0,724.0
sun,95.0,69.0,80.0,14.0,47.0,20.0,26.0,83.0,18.0,38.0,97.0,33.0,21.0,35.0,22.0,698.0
la,49.0,119.0,6.0,146.0,24.0,99.0,1.0,0.0,22.0,34.0,154.0,6.0,17.0,11.0,0.0,688.0
ah,75.0,85.0,109.0,15.0,41.0,38.0,28.0,17.0,19.0,19.0,53.0,85.0,28.0,46.0,13.0,671.0
hold,83.0,88.0,107.0,24.0,8.0,22.0,15.0,10.0,11.0,15.0,59.0,85.0,86.0,10.0,25.0,648.0
everybody,58.0,81.0,48.0,24.0,24.0,24.0,47.0,4.0,16.0,46.0,182.0,14.0,27.0,46.0,3.0,644.0
new,37.0,84.0,61.0,49.0,49.0,14.0,15.0,11.0,27.0,30.0,108.0,49.0,52.0,30.0,22.0,638.0
try,44.0,127.0,42.0,56.0,51.0,13.0,21.0,21.0,10.0,28.0,56.0,66.0,69.0,14.0,15.0,633.0
thing,42.0,82.0,58.0,31.0,24.0,25.0,19.0,15.0,12.0,44.0,62.0,62.0,59.0,72.0,13.0,620.0
nothing,64.0,62.0,55.0,78.0,16.0,16.0,12.0,10.0,22.0,38.0,115.0,35.0,60.0,19.0,14.0,616.0
ooh,46.0,63.0,41.0,27.0,1.0,20.0,15.0,15.0,5.0,5.0,59.0,161.0,142.0,5.0,3.0,608.0
true,101.0,40.0,38.0,36.0,12.0,36.0,4.0,7.0,11.0,19.0,81.0,88.0,100.0,29.0,5.0,607.0
da,59.0,31.0,423.0,0.0,17.0,0.0,9.0,1.0,0.0,0.0,1.0,52.0,1.0,9.0,0.0,603.0
alright,56.0,98.0,53.0,58.0,22.0,39.0,35.0,3.0,49.0,21.0,63.0,21.0,22.0,49.0,12.0,601.0
mine,108.0,62.0,54.0,49.0,14.0,21.0,11.0,5.0,8.0,18.0,65.0,68.0,80.0,20.0,10.0,593.0
cry,94.0,127.0,31.0,30.0,15.0,15.0,6.0,24.0,13.0,25.0,67.0,50.0,53.0,23.0,18.0,591.0
woman,38.0,87.0,55.0,48.0,53.0,71.0,35.0,8.0,1.0,23.0,34.0,50.0,17.0,40.0,23.0,583.0
leave,99.0,78.0,71.0,35.0,6.0,30.0,12.0,36.0,5.0,19.0,61.0,52.0,33.0,23.0,11.0,571.0
alone,62.0,66.0,97.0,28.0,16.0,10.0,9.0,35.0,8.0,24.0,67.0,40.0,71.0,20.0,15.0,568.0
free,39.0,61.0,34.0,50.0,34.0,3.0,26.0,10.0,17.0,42.0,130.0,31.0,43.0,39.0,8.0,567.0
put,13.0,119.0,68.0,51.0,7.0,10.0,14.0,16.0,23.0,24.0,105.0,22.0,49.0,30.0,16.0,567.0
made,44.0,56.0,72.0,30.0,17.0,11.0,22.0,8.0,23.0,34.0,88.0,68.0,55.0,16.0,15.0,559.0
help,58.0,72.0,100.0,24.0,11.0,4.0,17.0,12.0,8.0,15.0,53.0,43.0,36.0,82.0,12.0,547.0
pretty,25.0,111.0,101.0,25.0,5.0,10.0,8.0,0.0,4.0,18.0,58.0,93.0,21.0,10.0,57.0,546.0
together,90.0,87.0,94.0,43.0,33.0,5.0,18.0,7.0,5.0,19.0,44.0,17.0,63.0,7.0,10.0,542.0
stay,37.0,43.0,73.0,21.0,6.0,18.0,15.0,19.0,14.0,37.0,80.0,64.0,80.0,17.0,13.0,537.0
head,57.0,83.0,60.0,60.0,25.0,9.0,10.0,19.0,36.0,30.0,70.0,23.0,19.0,24.0,12.0,537.0
live,23.0,43.0,71.0,32.0,38.0,4.0,27.0,10.0,12.0,44.0,132.0,24.0,43.0,25.0,7.0,535.0
