palabra,Nirvana,Pearl Jam,Red Hot Chili Peppers,Oasis,Radiohead,Green Day,R.E.M.,Foo Fighters,Beastie Boys,Nine Inch Nails,Blur,Weezer,No Doubt,Smashing Pumpkins,Soundgarden,total
nt,393.0,839.0,754.0,573.0,329.0,843.0,608.0,543.0,721.0,335.0,395.0,1120.0,404.0,733.0,365.0,8955.0
know,157.0,226.0,468.0,316.0,116.0,266.0,310.0,192.0,295.0,171.0,146.0,433.0,148.0,333.0,147.0,3724.0
got,94.0,339.0,462.0,210.0,104.0,243.0,151.0,165.0,661.0,106.0,160.0,448.0,115.0,148.0,141.0,3547.0
like,81.0,248.0,429.0,137.0,94.0,317.0,185.0,213.0,628.0,108.0,148.0,364.0,128.0,167.0,189.0,3436.0
love,87.0,264.0,564.0,173.0,45.0,178.0,133.0,165.0,51.0,39.0,124.0,406.0,139.0,722.0,102.0,3192.0
na,71.0,165.0,308.0,289.0,89.0,375.0,100.0,208.0,250.0,52.0,168.0,316.0,139.0,160.0,138.0,2828.0
get,53.0,172.0,451.0,161.0,123.0,215.0,120.0,141.0,381.0,133.0,135.0,389.0,148.0,86.0,93.0,2801.0
oh,58.0,420.0,315.0,43.0,44.0,298.0,125.0,254.0,71.0,71.0,169.0,316.0,123.0,261.0,52.0,2620.0
go,73.0,193.0,243.0,119.0,82.0,318.0,172.0,233.0,160.0,89.0,117.0,337.0,96.0,235.0,50.0,2517.0
one,67.0,193.0,212.0,118.0,71.0,232.0,161.0,365.0,209.0,52.0,58.0,275.0,81.0,253.0,82.0,2429.0
want,67.0,138.0,302.0,61.0,82.0,228.0,179.0,112.0,97.0,140.0,97.0,339.0,96.0,266.0,176.0,2380.0
time,42.0,179.0,322.0,197.0,43.0,214.0,188.0,254.0,203.0,77.0,75.0,178.0,105.0,144.0,80.0,2301.0
come,81.0,125.0,298.0,139.0,72.0,131.0,97.0,206.0,92.0,87.0,99.0,232.0,71.0,217.0,123.0,2070.0
yeah,107.0,398.0,269.0,128.0,33.0,98.0,169.0,135.0,62.0,26.0,139.0,207.0,46.0,137.0,109.0,2063.0
never,74.0,169.0,224.0,165.0,60.0,117.0,130.0,211.0,103.0,71.0,79.0,229.0,72.0,232.0,54.0,1990.0
away,63.0,171.0,230.0,160.0,78.0,203.0,154.0,155.0,25.0,145.0,109.0,212.0,63.0,131.0,85.0,1984.0
let,42.0,163.0,222.0,170.0,68.0,167.0,106.0,102.0,128.0,69.0,42.0,280.0,125.0,218.0,67.0,1969.0
see,67.0,206.0,207.0,141.0,73.0,107.0,163.0,110.0,107.0,89.0,78.0,193.0,79.0,207.0,75.0,1902.0
back,58.0,190.0,114.0,64.0,74.0,144.0,99.0,241.0,168.0,94.0,66.0,218.0,112.0,115.0,37.0,1794.0
take,103.0,107.0,288.0,127.0,63.0,115.0,206.0,118.0,109.0,82.0,29.0,181.0,67.0,124.0,66.0,1785.0
say,33.0,151.0,177.0,181.0,58.0,218.0,93.0,144.0,139.0,34.0,81.0,155.0,58.0,143.0,66.0,1731.0
ca,36.0,182.0,103.0,76.0,63.0,151.0,93.0,73.0,153.0,55.0,71.0,270.0,128.0,208.0,59.0,1721.0
feel,59.0,141.0,144.0,163.0,57.0,92.0,88.0,98.0,51.0,83.0,80.0,190.0,90.0,210.0,69.0,1615.0
make,63.0,107.0,259.0,106.0,35.0,113.0,131.0,149.0,111.0,91.0,40.0,139.0,66.0,132.0,71.0,1613.0
way,80.0,137.0,161.0,128.0,41.0,89.0,101.0,107.0,75.0,70.0,97.0,191.0,72.0,153.0,52.0,1554.0
cause,22.0,85.0,183.0,131.0,28.0,217.0,37.0,62.0,262.0,17.0,57.0,154.0,93.0,128.0,40.0,1516.0
gon,60.0,87.0,142.0,162.0,36.0,185.0,47.0,72.0,145.0,20.0,14.0,179.0,105.0,97.0,90.0,1441.0
could,57.0,148.0,219.0,76.0,46.0,40.0,155.0,119.0,50.0,77.0,57.0,160.0,57.0,108.0,40.0,1409.0
right,58.0,65.0,182.0,89.0,27.0,110.0,54.0,127.0,119.0,56.0,12.0,122.0,49.0,101.0,96.0,1267.0
life,22.0,98.0,159.0,175.0,30.0,106.0,91.0,123.0,50.0,10.0,52.0,121.0,71.0,119.0,37.0,1264.0
around,20.0,80.0,180.0,66.0,55.0,182.0,80.0,96.0,106.0,18.0,37.0,103.0,59.0,95.0,50.0,1227.0
hey,64.0,62.0,126.0,70.0,29.0,202.0,139.0,51.0,61.0,45.0,20.0,137.0,95.0,32.0,54.0,1187.0
need,42.0,88.0,123.0,133.0,20.0,64.0,73.0,72.0,43.0,75.0,57.0,158.0,61.0,153.0,21.0,1183.0
world,8.0,149.0,89.0,82.0,46.0,126.0,138.0,58.0,54.0,52.0,62.0,119.0,50.0,113.0,22.0,1168.0
think,64.0,71.0,91.0,89.0,48.0,105.0,70.0,73.0,70.0,76.0,69.0,152.0,105.0,39.0,38.0,1160.0
give,19.0,96.0,193.0,42.0,27.0,79.0,55.0,118.0,63.0,66.0,59.0,120.0,38.0,74.0,54.0,1103.0
wan,10.0,75.0,166.0,91.0,53.0,191.0,41.0,58.0,105.0,22.0,27.0,133.0,29.0,63.0,31.0,1095.0
well,30.0,72.0,176.0,52.0,35.0,204.0,67.0,53.0,139.0,63.0,61.0,36.0,37.0,43.0,25.0,1093.0
day,33.0,66.0,113.0,100.0,37.0,91.0,89.0,89.0,72.0,26.0,129.0,112.0,41.0,60.0,21.0,1079.0
little,56.0,98.0,154.0,69.0,50.0,89.0,52.0,73.0,66.0,43.0,32.0,91.0,47.0,77.0,43.0,1040.0
mind,28.0,75.0,91.0,119.0,18.0,128.0,30.0,59.0,85.0,8.0,37.0,96.0,33.0,102.0,67.0,976.0
man,20.0,105.0,146.0,56.0,45.0,55.0,66.0,62.0,179.0,12.0,45.0,90.0,20.0,36.0,34.0,971.0
baby,24.0,74.0,179.0,21.0,16.0,83.0,139.0,44.0,40.0,15.0,21.0,86.0,95.0,66.0,42.0,945.0
heart,43.0,63.0,55.0,48.0,20.0,108.0,62.0,94.0,27.0,17.0,38.0,119.0,14.0,153.0,47.0,908.0
good,24.0,46.0,172.0,44.0,34.0,41.0,45.0,75.0,55.0,9.0,46.0,154.0,64.0,54.0,43.0,906.0
tell,17.0,62.0,172.0,69.0,17.0,49.0,92.0,49.0,60.0,54.0,11.0,113.0,37.0,65.0,35.0,902.0
night,37.0,59.0,69.0,40.0,12.0,105.0,91.0,52.0,57.0,4.0,68.0,152.0,20.0,102.0,21.0,889.0
said,85.0,116.0,114.0,76.0,15.0,52.0,77.0,46.0,100.0,20.0,27.0,67.0,15.0,39.0,31.0,880.0
girl,70.0,28.0,182.0,15.0,12.0,91.0,29.0,16.0,82.0,1.0,27.0,187.0,42.0,40.0,50.0,872.0
la,0.0,8.0,30.0,97.0,0.0,148.0,69.0,37.0,13.0,3.0,241.0,98.0,38.0,71.0,0.0,853.0
nothing,33.0,113.0,46.0,56.0,51.0,77.0,56.0,102.0,37.0,36.0,67.0,43.0,17.0,56.0,62.0,852.0
keep,18.0,81.0,81.0,28.0,42.0,49.0,60.0,79.0,99.0,39.0,15.0,95.0,60.0,22.0,75.0,843.0
long,20.0,83.0,143.0,52.0,24.0,78.0,75.0,68.0,38.0,11.0,28.0,89.0,27.0,58.0,36.0,830.0
head,13.0,49.0,57.0,41.0,41.0,101.0,68.0,70.0,48.0,45.0,44.0,78.0,40.0,46.0,84.0,825.0
home,53.0,77.0,66.0,41.0,33.0,108.0,46.0,65.0,71.0,7.0,27.0,89.0,21.0,87.0,33.0,824.0
wo,24.0,72.0,68.0,98.0,48.0,43.0,32.0,40.0,51.0,27.0,50.0,94.0,23.0,79.0,63.0,812.0
would,68.0,68.0,98.0,55.0,16.0,35.0,64.0,24.0,25.0,32.0,43.0,113.0,41.0,77.0,46.0,805.0
find,43.0,60.0,96.0,82.0,14.0,70.0,53.0,97.0,28.0,35.0,30.0,61.0,25.0,83.0,14.0,791.0
eyes,33.0,64.0,77.0,31.0,46.0,65.0,79.0,68.0,20.0,26.0,26.0,64.0,33.0,81.0,66.0,779.0
us,25.0,72.0,92.0,60.0,32.0,49.0,61.0,39.0,27.0,48.0,51.0,72.0,25.0,116.0,5.0,774.0
ever,58.0,39.0,106.0,78.0,16.0,55.0,20.0,80.0,18.0,32.0,36.0,65.0,34.0,102.0,18.0,757.0
alone,7.0,59.0,62.0,29.0,6.0,115.0,65.0,47.0,7.0,10.0,49.0,101.0,13.0,146.0,37.0,753.0
look,21.0,65.0,100.0,40.0,20.0,73.0,90.0,78.0,45.0,36.0,32.0,85.0,26.0,24.0,17.0,752.0
always,18.0,73.0,96.0,19.0,27.0,61.0,24.0,41.0,60.0,23.0,47.0,86.0,59.0,101.0,17.0,752.0
everything,7.0,39.0,77.0,22.0,43.0,81.0,42.0,97.0,11.0,91.0,31.0,50.0,51.0,48.0,51.0,741.0
another,17.0,32.0,122.0,33.0,12.0,94.0,59.0,108.0,48.0,11.0,50.0,33.0,25.0,52.0,20.0,716.0
something,41.0,73.0,75.0,30.0,17.0,49.0,61.0,66.0,39.0,61.0,60.0,65.0,12.0,47.0,18.0,714.0
going,19.0,36.0,43.0,61.0,18.0,74.0,67.0,50.0,81.0,32.0,37.0,73.0,24.0,25.0,56.0,696.0
turn,12.0,40.0,82.0,21.0,45.0,34.0,73.0,57.0,57.0,26.0,46.0,121.0,17.0,50.0,7.0,688.0
try,11.0,45.0,28.0,43.0,37.0,41.0,113.0,40.0,67.0,55.0,19.0,58.0,33.0,79.0,17.0,686.0
gone,12.0,67.0,48.0,34.0,23.0,100.0,53.0,49.0,31.0,37.0,37.0,66.0,26.0,61.0,34.0,678.0
still,10.0,92.0,35.0,34.0,29.0,60.0,50.0,45.0,40.0,43.0,12.0,78.0,28.0,109.0,11.0,676.0
believe,16.0,92.0,69.0,59.0,6.0,25.0,75.0,38.0,14.0,47.0,16.0,61.0,43.0,81.0,13.0,655.0
ai,62.0,100.0,27.0,20.0,1.0,66.0,7.0,76.0,85.0,6.0,10.0,110.0,14.0,43.0,20.0,647.0
inside,14.0,34.0,84.0,54.0,29.0,43.0,31.0,50.0,29.0,85.0,10.0,50.0,22.0,93.0,15.0,643.0
hear,19.0,61.0,40.0,55.0,14.0,63.0,84.0,47.0,40.0,14.0,23.0,68.0,6.0,67.0,32.0,633.0
hold,31.0,52.0,63.0,20.0,9.0,41.0,98.0,26.0,21.0,28.0,21.0,65.0,40.0,98.0,14.0,627.0
better,30.0,63.0,110.0,43.0,32.0,82.0,29.0,37.0,32.0,21.0,20.0,59.0,21.0,23.0,19.0,621.0
light,12.0,83.0,57.0,37.0,29.0,50.0,59.0,39.0,42.0,9.0,27.0,33.0,7.0,108.0,24.0,616.0
things,15.0,62.0,57.0,75.0,22.0,39.0,65.0,37.0,36.0,24.0,25.0,73.0,25.0,43.0,14.0,612.0
every,21.0,54.0,66.0,23.0,11.0,52.0,33.0,49.0,40.0,44.0,37.0,54.0,13.0,81.0,25.0,603.0
