palabra,Arctic Monkeys,Imagine Dragons,Adele,Twenty One Pilots,Ed Sheeran,Mumford & Sons,The Black Keys,Tame Impala,Florence And The Machine,Kendrick Lamar,Lorde,Bruno Mars,Drake,The Weeknd,Lady Gaga,total
nt,425.0,561.0,488.0,569.0,1122.0,258.0,416.0,286.0,400.0,1558.0,206.0,757.0,3592.0,1883.0,1646.0,14167.0
know,162.0,274.0,134.0,399.0,821.0,153.0,184.0,172.0,140.0,639.0,97.0,417.0,2119.0,1146.0,535.0,7392.0
like,173.0,159.0,154.0,126.0,664.0,55.0,118.0,116.0,191.0,835.0,113.0,457.0,2462.0,603.0,643.0,6869.0
oh,135.0,847.0,136.0,182.0,624.0,152.0,240.0,63.0,346.0,168.0,96.0,578.0,570.0,1045.0,1291.0,6473.0
love,83.0,238.0,290.0,46.0,1031.0,213.0,222.0,63.0,319.0,460.0,93.0,278.0,869.0,1029.0,1032.0,6266.0
got,137.0,254.0,45.0,85.0,398.0,28.0,193.0,82.0,99.0,685.0,49.0,444.0,2190.0,718.0,467.0,5874.0
yeah,107.0,143.0,59.0,194.0,465.0,1.0,107.0,14.0,28.0,317.0,44.0,454.0,1804.0,976.0,378.0,5091.0
na,112.0,207.0,88.0,202.0,499.0,40.0,215.0,60.0,95.0,294.0,55.0,235.0,861.0,501.0,681.0,4145.0
get,122.0,197.0,68.0,121.0,258.0,56.0,101.0,44.0,128.0,536.0,78.0,206.0,1406.0,350.0,355.0,4026.0
go,117.0,222.0,127.0,128.0,420.0,62.0,146.0,104.0,101.0,312.0,69.0,284.0,925.0,334.0,217.0,3568.0
baby,92.0,60.0,86.0,6.0,318.0,12.0,92.0,19.0,19.0,164.0,27.0,379.0,613.0,697.0,760.0,3344.0
let,61.0,232.0,148.0,117.0,324.0,66.0,111.0,58.0,182.0,239.0,83.0,197.0,541.0,382.0,388.0,3129.0
time,70.0,195.0,89.0,165.0,389.0,124.0,100.0,107.0,80.0,249.0,33.0,192.0,703.0,414.0,186.0,3096.0
cause,74.0,182.0,76.0,126.0,287.0,44.0,46.0,59.0,143.0,194.0,34.0,214.0,727.0,472.0,409.0,3087.0
never,72.0,199.0,133.0,88.0,436.0,56.0,97.0,58.0,203.0,277.0,54.0,143.0,734.0,335.0,193.0,3078.0
