palabra,Billie Eilish,Halsey,Harry Styles,Lana Del Rey,Dua Lipa,Post Malone,Megan Thee Stallion,HAIM,Taylor Swift,Bad Bunny,Ariana Grande,Travis Scott,Doja Cat,Blackpink,total
nt,619.0,595.0,302.0,1229.0,1095.0,956.0,1265.0,390.0,2058.0,15.0,2023.0,1050.0,1255.0,200.0,13052.0
like,199.0,223.0,81.0,1398.0,412.0,466.0,804.0,54.0,1044.0,19.0,928.0,645.0,981.0,341.0,7595.0
yeah,35.0,144.0,42.0,337.0,364.0,642.0,871.0,53.0,308.0,216.0,1319.0,1727.0,760.0,348.0,7166.0
know,204.0,368.0,195.0,762.0,670.0,392.0,484.0,268.0,943.0,52.0,1054.0,563.0,394.0,225.0,6574.0
got,103.0,204.0,130.0,570.0,592.0,418.0,559.0,48.0,558.0,9.0,955.0,662.0,544.0,125.0,5477.0
love,155.0,271.0,88.0,950.0,451.0,188.0,139.0,137.0,807.0,23.0,1163.0,214.0,219.0,247.0,5052.0
na,168.0,161.0,140.0,729.0,482.0,288.0,297.0,162.0,739.0,174.0,619.0,181.0,470.0,166.0,4776.0
baby,42.0,95.0,85.0,978.0,380.0,192.0,132.0,109.0,558.0,435.0,914.0,159.0,385.0,86.0,4550.0
oh,71.0,226.0,212.0,489.0,305.0,232.0,100.0,173.0,1020.0,79.0,874.0,326.0,278.0,44.0,4429.0
get,61.0,84.0,115.0,565.0,265.0,182.0,547.0,105.0,336.0,4.0,440.0,498.0,494.0,84.0,3780.0
que,3.0,0.0,0.0,3.0,23.0,8.0,18.0,0.0,5.0,3672.0,11.0,4.0,7.0,0.0,3754.0
go,92.0,109.0,103.0,369.0,372.0,238.0,177.0,125.0,491.0,9.0,327.0,344.0,265.0,79.0,3100.0
cause,70.0,173.0,69.0,381.0,370.0,147.0,260.0,89.0,573.0,6.0,522.0,118.0,224.0,79.0,3081.0
wan,125.0,111.0,94.0,460.0,312.0,218.0,292.0,104.0,302.0,6.0,349.0,151.0,402.0,113.0,3039.0
let,83.0,65.0,73.0,398.0,406.0,168.0,235.0,99.0,292.0,2.0,475.0,301.0,214.0,68.0,2879.0
want,61.0,94.0,87.0,458.0,272.0,207.0,196.0,97.0,419.0,7.0,481.0,138.0,279.0,80.0,2876.0
one,83.0,167.0,74.0,375.0,299.0,124.0,111.0,65.0,567.0,35.0,475.0,199.0,216.0,45.0,2835.0
never,107.0,142.0,108.0,302.0,176.0,255.0,114.0,188.0,694.0,1.0,284.0,205.0,112.0,86.0,2774.0
say,118.0,54.0,33.0,474.0,181.0,158.0,201.0,148.0,543.0,8.0,438.0,113.0,186.0,68.0,2723.0
la,1.0,81.0,34.0,87.0,15.0,16.0,10.0,1.0,46.0,2124.0,126.0,143.0,16.0,2.0,2702.0
ai,27.0,40.0,16.0,49.0,155.0,252.0,550.0,6.0,170.0,3.0,362.0,350.0,450.0,56.0,2486.0
back,70.0,58.0,30.0,266.0,112.0,118.0,209.0,140.0,543.0,12.0,293.0,230.0,299.0,38.0,2418.0
time,61.0,102.0,72.0,255.0,174.0,144.0,88.0,77.0,624.0,7.0,375.0,222.0,81.0,57.0,2339.0
see,83.0,61.0,52.0,239.0,182.0,169.0,144.0,74.0,502.0,2.0,245.0,140.0,243.0,168.0,2304.0
make,71.0,91.0,31.0,254.0,172.0,73.0,296.0,43.0,230.0,6.0,468.0,179.0,189.0,144.0,2247.0
ca,116.0,103.0,40.0,240.0,211.0,166.0,146.0,75.0,368.0,9.0,333.0,207.0,190.0,21.0,2225.0
come,35.0,78.0,22.0,365.0,295.0,123.0,146.0,66.0,368.0,6.0,290.0,131.0,140.0,66.0,2131.0
yo,0.0,0.0,0.0,16.0,11.0,7.0,48.0,0.0,5.0,1873.0,27.0,23.0,77.0,35.0,2122.0
gon,31.0,57.0,46.0,279.0,185.0,110.0,165.0,56.0,354.0,6.0,361.0,189.0,108.0,69.0,2016.0
could,110.0,125.0,47.0,211.0,186.0,119.0,71.0,100.0,476.0,2.0,225.0,81.0,156.0,53.0,1962.0
need,76.0,69.0,22.0,129.0,253.0,105.0,192.0,45.0,201.0,3.0,386.0,185.0,237.0,35.0,1938.0
way,51.0,45.0,49.0,269.0,212.0,71.0,87.0,51.0,321.0,2.0,394.0,140.0,171.0,18.0,1881.0
take,51.0,105.0,34.0,348.0,116.0,142.0,113.0,74.0,289.0,3.0,186.0,194.0,168.0,34.0,1857.0
ooh,54.0,19.0,35.0,140.0,236.0,199.0,117.0,13.0,289.0,22.0,367.0,176.0,142.0,28.0,1837.0
de,8.0,0.0,0.0,4.0,19.0,8.0,7.0,0.0,6.0,1714.0,10.0,7.0,4.0,29.0,1816.0
keep,44.0,106.0,34.0,130.0,149.0,140.0,184.0,66.0,186.0,0.0,324.0,196.0,171.0,50.0,1780.0
bitch,3.0,3.0,4.0,51.0,5.0,188.0,801.0,0.0,7.0,8.0,11.0,279.0,380.0,13.0,1753.0
tell,70.0,85.0,34.0,201.0,177.0,132.0,122.0,61.0,312.0,5.0,198.0,155.0,104.0,49.0,1705.0
tu,8.0,0.0,1.0,5.0,13.0,0.0,12.0,0.0,0.0,1627.0,26.0,3.0,4.0,0.0,1699.0
right,29.0,83.0,33.0,197.0,140.0,123.0,101.0,75.0,291.0,1.0,275.0,161.0,98.0,19.0,1626.0
el,5.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,1552.0,20.0,3.0,3.0,0.0,1594.0
te,1.0,0.0,0.0,3.0,11.0,3.0,3.0,0.0,1.0,1530.0,22.0,3.0,3.0,6.0,1586.0
feel,64.0,89.0,40.0,193.0,200.0,133.0,43.0,82.0,213.0,2.0,264.0,108.0,124.0,13.0,1568.0
shit,10.0,15.0,1.0,31.0,9.0,171.0,529.0,7.0,37.0,8.0,156.0,349.0,188.0,6.0,1517.0
ah,9.0,78.0,5.0,232.0,115.0,12.0,374.0,10.0,189.0,90.0,114.0,62.0,91.0,92.0,1473.0
