palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
love,NOUN,6290.0,5980.0,11428.0,3192.0,6254.0,6266.0,5052.0
baby,NOUN,4580.0,2651.0,5838.0,945.0,4151.0,3344.0,4550.0
time,NOUN,2524.0,2030.0,4708.0,2301.0,3728.0,3096.0,2339.0
way,NOUN,1931.0,1573.0,2779.0,1554.0,3269.0,2277.0,1881.0
day,NOUN,1871.0,1181.0,2585.0,1079.0,1630.0,1152.0,858.0
little,ADJ,1779.0,1025.0,1553.0,1040.0,1944.0,837.0,1028.0
girl,NOUN,1753.0,1014.0,2652.0,872.0,2780.0,2539.0,1138.0
man,NOUN,1689.0,1211.0,1919.0,971.0,3591.0,1719.0,1042.0
night,NOUN,1534.0,1496.0,2621.0,889.0,1731.0,1675.0,1377.0
good,ADJ,1520.0,977.0,2136.0,906.0,2088.0,1266.0,1137.0
life,NOUN,1440.0,1512.0,2771.0,1264.0,2309.0,2078.0,1304.0
home,NOUN,1341.0,644.0,1172.0,824.0,1209.0,1002.0,697.0
heart,NOUN,1269.0,1139.0,2309.0,908.0,1250.0,1512.0,1040.0
world,NOUN,1152.0,1272.0,2672.0,1168.0,1668.0,995.0,520.0
people,NOUN,895.0,618.0,1200.0,498.0,1122.0,680.0,345.0
mind,NOUN,891.0,745.0,1208.0,976.0,1283.0,1292.0,941.0
eyes,NOUN,856.0,790.0,1560.0,779.0,1149.0,1124.0,745.0
sweet,ADJ,789.0,427.0,492.0,282.0,422.0,201.0,401.0
things,NOUN,763.0,559.0,1111.0,612.0,1178.0,953.0,701.0
old,ADJ,739.0,407.0,535.0,436.0,763.0,427.0,316.0
new,ADJ,638.0,603.0,1138.0,590.0,1739.0,938.0,711.0
thing,NOUN,620.0,430.0,1119.0,425.0,1219.0,843.0,612.0
true,ADJ,607.0,442.0,935.0,307.0,528.0,337.0,351.0
woman,NOUN,583.0,502.0,460.0,93.0,258.0,339.0,343.0
free,ADJ,567.0,311.0,958.0,464.0,673.0,529.0,322.0
head,NOUN,537.0,363.0,912.0,825.0,1621.0,761.0,631.0
money,NOUN,520.0,302.0,586.0,206.0,1879.0,1183.0,718.0
rock,NOUN,489.0,892.0,784.0,469.0,760.0,180.0,268.0
light,ADJ,488.0,481.0,1188.0,616.0,839.0,599.0,498.0
blue,ADJ,483.0,236.0,461.0,376.0,334.0,227.0,476.0
place,NOUN,471.0,427.0,884.0,521.0,763.0,495.0,309.0
bad,ADJ,467.0,500.0,887.0,385.0,1081.0,721.0,1346.0
wrong,ADJ,463.0,376.0,752.0,408.0,855.0,525.0,499.0
summer,NOUN,463.0,121.0,255.0,189.0,158.0,188.0,308.0
big,ADJ,455.0,377.0,580.0,344.0,1303.0,579.0,561.0
song,NOUN,441.0,321.0,721.0,391.0,591.0,427.0,335.0
dream,NOUN,429.0,457.0,895.0,514.0,470.0,323.0,315.0
music,NOUN,429.0,257.0,1212.0,113.0,587.0,307.0,155.0
honey,NOUN,429.0,403.0,414.0,93.0,214.0,161.0,329.0
soul,NOUN,427.0,421.0,1014.0,431.0,600.0,428.0,236.0
road,NOUN,415.0,258.0,334.0,231.0,320.0,285.0,181.0
end,NOUN,401.0,379.0,797.0,574.0,844.0,461.0,327.0
rain,NOUN,390.0,268.0,743.0,378.0,393.0,418.0,273.0
lonely,ADJ,387.0,500.0,524.0,284.0,207.0,263.0,180.0
child,NOUN,383.0,238.0,335.0,153.0,203.0,113.0,65.0
town,NOUN,382.0,330.0,470.0,279.0,324.0,254.0,285.0
high,ADJ,380.0,339.0,669.0,526.0,1179.0,632.0,735.0
tonight,NOUN,379.0,519.0,1311.0,490.0,958.0,692.0,778.0
young,ADJ,377.0,235.0,412.0,318.0,589.0,563.0,464.0
sky,NOUN,372.0,303.0,592.0,405.0,632.0,327.0,280.0
door,NOUN,369.0,235.0,614.0,222.0,427.0,295.0,275.0
happy,ADJ,363.0,390.0,612.0,321.0,305.0,211.0,188.0
morning,NOUN,361.0,323.0,448.0,220.0,420.0,229.0,186.0
fine,ADJ,355.0,215.0,330.0,213.0,302.0,231.0,262.0
days,NOUN,352.0,274.0,649.0,356.0,396.0,457.0,338.0
cold,ADJ,352.0,227.0,517.0,347.0,533.0,357.0,272.0
fun,NOUN,347.0,343.0,454.0,194.0,268.0,297.0,245.0
fire,NOUN,341.0,394.0,804.0,357.0,568.0,423.0,425.0
friends,NOUN,338.0,268.0,412.0,301.0,705.0,649.0,430.0
today,NOUN,337.0,236.0,414.0,339.0,396.0,322.0,121.0
sad,ADJ,336.0,201.0,235.0,213.0,130.0,114.0,210.0
friend,NOUN,333.0,268.0,456.0,417.0,466.0,346.0,286.0
times,NOUN,324.0,290.0,434.0,285.0,469.0,361.0,208.0
goodbye,NOUN,310.0,282.0,543.0,178.0,198.0,158.0,197.0
work,NOUN,306.0,190.0,671.0,183.0,823.0,548.0,302.0
city,NOUN,303.0,269.0,351.0,273.0,474.0,596.0,224.0
tears,NOUN,302.0,267.0,540.0,207.0,254.0,282.0,223.0
girls,NOUN,301.0,129.0,417.0,246.0,725.0,509.0,340.0
whoa,NOUN,300.0,125.0,167.0,210.0,219.0,182.0,228.0
dreams,NOUN,299.0,296.0,580.0,281.0,394.0,261.0,276.0
sea,NOUN,295.0,123.0,309.0,156.0,99.0,98.0,142.0
bout,NOUN,292.0,79.0,176.0,124.0,1002.0,637.0,689.0
land,NOUN,287.0,145.0,223.0,119.0,225.0,126.0,82.0
best,ADJ,281.0,262.0,682.0,362.0,783.0,437.0,511.0
hair,NOUN,281.0,108.0,287.0,128.0,346.0,286.0,281.0
dead,ADJ,281.0,210.0,522.0,383.0,552.0,229.0,164.0
hope,NOUN,279.0,175.0,519.0,339.0,520.0,517.0,310.0
years,NOUN,276.0,251.0,347.0,192.0,327.0,223.0,111.0
darling,NOUN,274.0,160.0,193.0,50.0,121.0,218.0,133.0
fool,NOUN,271.0,314.0,341.0,128.0,199.0,167.0,101.0
black,ADJ,269.0,221.0,537.0,333.0,918.0,378.0,275.0
star,NOUN,267.0,179.0,500.0,226.0,293.0,153.0,147.0
sleep,NOUN,265.0,174.0,415.0,373.0,438.0,435.0,291.0
moon,NOUN,264.0,177.0,295.0,191.0,188.0,128.0,98.0
line,NOUN,258.0,262.0,492.0,326.0,498.0,286.0,242.0
strange,ADJ,258.0,64.0,393.0,138.0,123.0,74.0,61.0
hot,ADJ,257.0,198.0,501.0,209.0,775.0,243.0,616.0
cool,ADJ,256.0,121.0,296.0,143.0,404.0,195.0,261.0
arms,NOUN,253.0,180.0,529.0,203.0,272.0,271.0,165.0
children,NOUN,252.0,153.0,305.0,134.0,128.0,89.0,32.0
